索引	内容	预测的类别
0	书剑路茫茫，扁舟渡扶桑（日本单人行记录）	预测的类别为：legal
1	lz在国外读书，年底打算去日本旅行一周，签证整下来了，但是身边朋友摇了个遍都摇不到打算去日本玩儿的人  本来都打算在水源摇人，回头一想又发现马德不对你们年底也还没放寒假，我真的是……  也想过跑到小红书这些地方去摇人，但又觉得跟完完全全的陌生网友旅游不如自己一个人探险了  不过其实内心还是有点儿小激动的，一个人在语言不通的异国他乡旅游，想想其实还挺浪漫的  等我到日本给各位源友更新游记	预测的类别为：legal
2	来点泡泡浴测评	预测的类别为：legal
3	我不好说我擦	预测的类别为：legal
4	噢以及最后不抱希望地摇一下人，如果有源友因为种种原因打算在十二月底去日本的，欢迎狠狠地加入	预测的类别为：legal
5	大部分源友这时候在期末 	预测的类别为：legal
6	等你开帖记录	预测的类别为：legal
7	万一有天才源友或者开摆源友：“期末是什么，和你爆了”，指不定就能摇到人了捏	预测的类别为：legal
8	等个风俗测评	预测的类别为：legal
9	关注了，取取经 	预测的类别为：illegal，敏感词包括：{'光祖'}
10	以及现在开始学日语，是时候测验我多年日剧日本动画片积累下来的语感了  这就叫厚积薄发	预测的类别为：legal
11	密院年底放假了，但是我是打算年初去玩的	预测的类别为：legal
12	密院年底有日本的交流项目，我参加了	预测的类别为：legal
13	诶对哦，马德我怎么忘了密院我还是密院毕业的  密院，yyds！	预测的类别为：legal
14	行动路线发一下？ 到时候狠狠地跟你们偶遇	预测的类别为：legal
15	我和我朋友有在規劃也確實有空 還在想什麼時後去	预测的类别为：legal
16	一个人去挺好的，不用做计划不用考虑同行的人赢！另外日语不好就别去碰泡泡浴风俗了，警惕被人当中国老钱来个仙人跳宰一笔	预测的类别为：legal
17	先是一个星期自由行然后在京都的立命馆大学交流三个星期 1月5号开始	预测的类别为：legal
18	12月末是日本新年，各种地方都人多，有啥特别要去的地方提前预约哈。	预测的类别为：legal
19	这里也有个密院毕业的在国外读的 玛德一毕业wp就能去日本了    lz考虑时间短一点吗 寒假挺短不想花一周时间	预测的类别为：legal
20	cy	预测的类别为：legal
21	我觉得5～7天都可以，再短就有点儿玩儿的不尽兴了	预测的类别为：legal
22	我一般一个月会去两三次，但大多数都不是源友会去的地方	预测的类别为：legal
23	不如就年底去吧，说不定能赶上各种新年祭，也能看到冬天的富士山  以及你是台湾或者香港友人吗？	预测的类别为：legal
24	其实我是有打算过这事情的（	预测的类别为：legal
25	既然打算了，不如付诸行动捏	预测的类别为：legal
26	我可能得到十二月出头一点才能决定 	预测的类别为：legal
27	没事儿，我签证那个时候才能真正下来，你是密院的吗，为啥那个时候会有时间呀	预测的类别为：legal
28	做梦都想去 	预测的类别为：legal
29	其实一个人去玩得挺爽的。。	预测的类别为：legal
30	我大四没课而已  我估计我签证最多一周就下来了，三月单次挺好申的，而且学生必过好像	预测的类别为：legal
31	我也这么感觉，一个人做好攻略想去哪去哪  但同时我也不想放过在旅行中认识新朋友的机会，所以能摇到人也不错	预测的类别为：legal
32	大概因为救主灵刃是唯一吧（	预测的类别为：legal
33	饮魔刀终究找不到和自己一样的血手和绿叉 痛，太痛了	预测的类别为：legal
34	能不能代购点小卡片	预测的类别为：illegal，敏感词包括：{'轮暴'}
35	遗憾啊，我这学期忙申请，打算下学期去富士山看樱花来着	预测的类别为：legal
36	想去什么展览或者活动一定一定一定要提前预约或者订票  以及现在就可以定酒店了，去前一周再定基本上没有好地理位置好价格了	预测的类别为：legal
37	好，直接开始预约！	预测的类别为：legal
38	cy	预测的类别为：legal
39	LZ 准备去哪里？  我一月初在九州	预测的类别为：legal
40	期末考试我跟你拼了！！  好想元旦去看箱根啊 	预测的类别为：legal
41	cy 想去日本 密大人12月中就放假了捏	预测的类别为：legal
42	旅行中会有机会随机认识人的哈哈哈	预测的类别为：legal
43	十二月中上旬在札幌。    也考虑过十二月底，但那会儿机票酒店实在太贵了。	预测的类别为：legal
44	cy 未来某年希望能和女朋友一起去一次日本	预测的类别为：legal
45	boar酱不是一直在日本吗，可以问问他 	预测的类别为：legal
