索引	文本	模型预测结果
索引：301	文本：@热带风味冰红茶  舟批交流一下	预测的类别为：legal
索引：302	文本：拉狗子好看	预测的类别为：illegal
索引：303	文本：今天？今天下午！	预测的类别为：legal
索引：304	文本：怎么把嫂夫人@出来了	预测的类别为：legal
索引：305	文本：好好好（羞涩现身）	预测的类别为：legal
索引：306	文本：但我其实是恶臭强度党	预测的类别为：legal
索引：307	文本：你好，请问这位破防水先生是谁;我对他(她?)有印象但未曾记录下可供辨识的身份;  {S@ -t/ ps,Ef Hox; ST k 'NR4 m An 3s pot.  #E [s KEAR Hn4   而今时过境迁物是人非，我更想一句，嫂夫人是嫂的夫人吗	预测的类别为：legal
索引：308	文本：最近开始沉迷古早游戏：找你妹  玩的真的上头	预测的类别为：legal
索引：309	文本：晚上不看恐怖视频就浑身难受	预测的类别为：legal
索引：310	文本：   老好人初见凉姐·其二   Screenshot_20231114_124841 716×5653 613 KB   Screenshot_20231114_124927 701×5676 615 KB   Screenshot_20231114_124950 780×1937 249 KB	预测的类别为：legal
索引：311	文本：来例假，肚子疼的感觉就好像：  我要下蛋！我要下蛋了！  现在内心已经本能地在寻找一个草窝趴好了（）	预测的类别为：legal
索引：312	文本：摸摸	预测的类别为：legal
索引：313	文本：咯咯	预测的类别为：legal
索引：314	文本：往上翻了翻，本楼抽象浓度过高，这种表达方式对我来说还是太超前了	预测的类别为：legal
索引：315	文本：太抽象了(  转圈.gif)	预测的类别为：legal
索引：316	文本：小伙子，超前是好事。人类文明终究是要展望未来的。	预测的类别为：legal
索引：317	文本：今天给啊噗噜派推了拍立得哥的楼。   他从中午十二点看到下午四点，足足四个小时，四千五百多楼全看完了。	预测的类别为：legal
索引：318	文本：我想回看我的所有日记！  我要回看我摇滚乐一般的青春！	预测的类别为：legal
索引：319	文本：想看超几何级数（	预测的类别为：legal
索引：320	文本：你去问凉姐	预测的类别为：illegal
索引：321	文本：我焯  昨天是整个学期的模电ddl  一天内狂写两章作业，又瞎糊完两个仿真实验  大学之后再没有这么高强度肝的经历了我焯	预测的类别为：legal
索引：322	文本：    苹果派在干嘛啊   1700095968630 1590×826 47.6 KB  绷不住了	预测的类别为：legal
索引：323	文本：Screenshot_20231116_174435 742×1313 200 KB   和ftt一拍即合：  这也太浪漫了！	预测的类别为：legal
索引：324	文本：我正在吃饭 真太tm浪漫了	预测的类别为：legal
索引：325	文本：好好好  浪漫还是要三个人一起浪漫更好	预测的类别为：legal
索引：326	文本： 绷不住了  我的python代码文件夹里面怎么会有一个文件被我取了名叫“黑化”啊   好像是大一的一个大作业	预测的类别为：legal
索引：327	文本：我其实疑心的是你python代码文件夹里为啥有跑团记录	预测的类别为：illegal
索引：328	文本：因为要拿python处理跑团记录  加上冗余信息快十万个字，我不能手动处理啊	预测的类别为：legal
索引：329	文本：学以致用，强强	预测的类别为：legal
索引：330	文本：   看点广义番（）   Screenshot_20231116_233029 892×5749 702 KB	预测的类别为：illegal
索引：331	文本：这也太浪漫了！	预测的类别为：legal
索引：333	文本：什么返童还童的科幻大片	预测的类别为：illegal
索引：334	文本：       A bandon!:     返童还童       总觉得十一世纪在暗指我现在很幼稚，各位哥哥姐姐爸爸妈妈们，你们有什么头猪吗？	预测的类别为：legal
索引：335	文本：头猪？老好人难道是？手写输入？	预测的类别为：illegal
索引：336	文本：是常见的梗吧	预测的类别为：legal
索引：337	文本：我是不经常上网的老东西 不用管我	预测的类别为：legal
索引：338	文本：       东川秘制丽贝卡酱饼:     总觉得十一世纪在暗指我现在很幼稚，哥哥，你有什么头猪吗？       头猪指头胎生出的猪，其出生及至一年以降时，年不满一岁；而人言所谓的幼稚大抵是年不满七八岁，心智未开思无邪的时期。  以此断之，头猪大概也是幼稚的；尽管在这个问题上，我似乎并没有任何头猪。	预测的类别为：illegal
索引：339	文本：哼，中老年人	预测的类别为：legal
索引：340	文本：哼，互联网纯良	预测的类别为：illegal
索引：341	文本：我妈坚持手写输入 我看到这种形近错别字 异体字 早就训练出自动翻译纠错了	预测的类别为：illegal
索引：342	文本：  The great desire and reluctunce was followed by a spiral of ashes, twisted and abstruse.       偌大的渴望与不甘之后是螺旋的死灰       扭曲而邃延	预测的类别为：legal
索引：343	文本：一个赞写十五分钟作业。	预测的类别为：legal
索引：344	文本：好好好，这就去发动亲友团给你点赞	预测的类别为：legal
索引：345	文本：@here   点按红心助力老好人写作业。	预测的类别为：legal
索引：346	文本：点赞之前的帖子也算数吗	预测的类别为：legal
索引：348	文本：不	预测的类别为：legal
索引：349	文本：IMG_20231117_115811 4000×3000 4.58 MB	预测的类别为：illegal
索引：350	文本：你们不要再打啦	预测的类别为：legal
索引：351	文本：拥抱着取暖w	预测的类别为：legal
索引：352	文本：袜 助力一下吧	预测的类别为：legal
索引：353	文本：ok，大概要写个四小时多  写完再玩	预测的类别为：legal
索引：354	文本：Screenshot_20231118_193820_com.plan.kot32.tomatotime 1080×2340 134 KB  我去玩了喵	预测的类别为：illegal
索引：355	文本：玩了一晚上。好罪恶。	预测的类别为：legal
索引：356	文本：Screenshot_20231118_234238 793×2482 226 KB	预测的类别为：illegal
索引：357	文本：复习，目标是模电不挂	预测的类别为：legal
索引：358	文本：写完物理实验报告了	预测的类别为：legal
索引：359	文本：Screenshot_20231120_144637 750×1940 264 KB	预测的类别为：illegal
